label,ra,dec,theta
J1055-6236,10.9318361111111,-62.6134166666667,163.977541666667
J1055-6905,10.9290861111111,-69.0865,163.936291666667
J1056-5709,10.9454972222222,-57.1595833333333,164.182458333333
J1056-6258,10.9404305555556,-62.9798888888889,164.106458333333
J1056-7117,10.9461055555556,-71.298165,164.191583333333
J1057-4754,10.9647605555556,-47.916,164.471408333333
J1057-5226,10.9663791666667,-52.4489611111111,164.4956875
J1057-7914,10.9576111111111,-79.2400555555556,164.364166666667
J1058-5957,10.9761805555556,-59.9601111111111,164.642708333333
J1059-5742,10.9835833333333,-57.7039444444444,164.75375
J1101-6101,11.0291555555556,-61.0276666666667,165.437333333333
J1101-6424,11.0269978611111,-64.4109255555556,165.404967916667
J1101+65,11.0333333333333,65.1166666666667,165.5
J1103-5403,11.0592483333333,-54.0620125,165.888725
J1103-6025,11.0587444444444,-60.426775,165.881166666667
J1104-6103,11.0714616666667,-61.0510777777778,166.071925
J1105-43,11.09,-43.9502777777778,166.35
J1105-6107,11.0906027777778,-61.1309444444444,166.359041666667
J1106-6438,11.1079,-64.65,166.6185
J1107-5907,11.1262388888889,-59.1218611111111,166.893583333333
J1107-5947,11.1329722222222,-59.7844444444444,166.994583333333
J1107-6143,11.1200833333333,-61.7330555555556,166.80125
J1110-5637,11.1667777777778,-56.6258055555556,167.501666666667
J1110+58,11.1833333333333,58.8666666666667,167.75
J1111-55,11.1833333333333,-55,167.75
J1112-6103,11.2041138888889,-61.0586388888889,168.061708333333
J1112-6613,11.2107027777778,-66.218,168.160541666667
J1112-6926,11.2141666666667,-69.4419444444444,168.2125
J1114-6100,11.2395888888889,-61.0095,168.593833333333
J1115+5030,11.2606666666667,50.5034138888889,168.91
J1115-6052,11.2649111111111,-60.8716111111111,168.973666666667
J1116-4122,11.278635,-41.3788777777778,169.179525
J1117-6154,11.2899472222222,-61.9061111111111,169.349208333333
J1117-6447,11.2958333333333,-64.7994444444444,169.4375
J1119-6127,11.3206388888889,-61.46375,169.809583333333
J1119-7936,11.328,-79.6084166666667,169.92
J1120-3618,11.3395555555556,-36.3089444444444,170.093333333333
J1121-5444,11.3553302777778,-54.7348611111111,170.329954166667
J1122+78,11.4327777777778,78.3833333333333,171.491666666667
J1123-4844,11.3876808333333,-48.7396527777778,170.8152125
J1123-6102,11.3949166666667,-61.0350555555556,170.92375
J1123-6259,11.3987636111111,-62.9863166666667,170.981454166667
J1123-6651,11.3978361111111,-66.8636305555555,170.967541666667
J1124-3653,11.4,-36,171
J1124-5638,11.4156861111111,-56.6443611111111,171.235291666667
J1124-5916,11.4108333333333,-59.2719444444444,171.1625
J1124-6421,11.4165277777778,-64.3547222222222,171.247916666667
J1125-5825,11.4289904555556,-58.4213555,171.434856833333
J1125-6014,11.432005,-60.2351688888889,171.480075
J1126-27,11.4333333333333,-27.6166666666667,171.5
J1126-6054,11.4479466666667,-60.9111,171.7192
J1126-6942,11.4393527777778,-69.70425,171.590291666667
J1128-6219,11.4796388888889,-62.3191666666667,172.194583333333
J1129-53,11.4891666666667,-53.5166666666667,172.3375
J1130-5826,11.5045361111111,-58.4339722222222,172.568041666667
J1130-5925,11.5029,-59.4261388888889,172.5435
J1130-6807,11.5088647222222,-68.1245888888889,172.632970833333
J1132-46,11.5425,-46.9183333333333,173.1375
J1132-5627,11.5377055555556,-56.4580277777778,173.065583333333
J1133-6250,11.5642916666667,-62.8473888888889,173.464375
J1135-49,11.5988888888889,-49.4252777777778,173.983333333333
J1135-6055,11.5833333333333,-60.9166666666667,173.75
J1136+1551,11.6009021388889,15.8512444444444,174.013532083333
J1136-5525,11.6006027777778,-55.4189722222222,174.009041666667
J1137-6700,11.6255802777778,-67.0091694444444,174.383704166667
J1138-6207,11.6393388888889,-62.1331388888889,174.590083333333
J1141-3107,11.6904525,-31.1312777777778,175.3567875
J1141-6545,11.6852816666667,-65.7553091944445,175.279225
J1142+0119,11.7,1.31666666666667,175.5
J1142-6230,11.7145833333333,-62.5010833333333,175.71875
J1143-5158,11.7208513888889,-51.9777472222222,175.812770833333
J1143-5536,11.7193861111111,-55.60125,175.790791666667
J1144-6146,11.743,-61.7802777777778,176.145
J1144-6217,11.7339194444444,-62.29175,176.008791666667
J1146-6030,11.7688166666667,-60.5165,176.53225
J1147-66,11.7833333333333,-66,176.75
J1148-5725,11.807925,-57.4201666666667,177.118875
J1148-6415,11.8105,-64.2591666666667,177.1575
J1151-6108,11.8657944444444,-61.1382222222222,177.986916666667
J1152-5800,11.8694444444444,-58.0094444444444,178.041666666667
J1152-6012,11.8816111111111,-60.2058333333333,178.224166666667
J1153-21,11.8833333333333,-21.3,178.25
J1154-6250,11.9055833333333,-62.8340833333333,178.58375
J1156-5707,11.9354027777778,-57.1171944444444,179.031041666667
J1156-5909,11.9393055555556,-59.1534166666667,179.089583333333
J1157-5112,11.9522683333333,-51.2155944444444,179.284025
J1157-6224,11.9542333333333,-62.4141305555556,179.3135
J1159-6409,11.9893611111111,-64.1658333333333,179.840416666667
J1159-7910,11.9932527777778,-79.1682222222222,179.898791666667
J1201-6306,12.0230583333333,-63.1165277777778,180.345875
J1202-5820,12.0412230555556,-58.3426111111111,180.618345833333
J1204-6843,12.0768666666667,-68.7214416666667,181.153
J1207-5050,12.122725,-50.84175,181.840875
J1210-5226,12.1669194444444,-52.4412222222222,182.503791666667
J1210-5559,12.16833,-55.9844222222222,182.52495
J1210-6550,12.1783333333333,-65.8346111111111,182.675
J1211-6324,12.19005,-63.4125555555556,182.85075
J1214-5830,12.2356722222222,-58.5071944444444,183.535083333333
J1215-5328,12.2501722222222,-53.4754444444444,183.752583333333
J1216-50,12.2722222222222,-50.4502777777778,184.083333333333
J1216-6223,12.2783027777778,-62.3993888888889,184.174541666667
J1216-6410,12.2687054444444,-64.1692294444445,184.030581666667
J1220-6318,12.3382944444444,-63.3129166666667,185.074416666667
