label,ra,dec,theta,p0,kPc
J1043-6116,10.732025,-61.2807777777778,160.980375,0.288601695277,18.20
J1046+0304,10.778675,3.06858333333333,161.680125,0.326271446035,+2.25
J1046-5813,10.7719083333333,-58.2310555555556,161.578625,0.36942669620,4.80
J1047-58,10.7988888888889,-58.6833333333333,161.983333333333,1.23129,2.33
J1047-6709,10.7911894444444,-67.164185,161.867841666667,0.1984514505627,4.67
J1052-5954,10.8772527777778,-59.91225,163.158791666667,0.180591500693,13.55
J1054-5943,10.9160416666667,-59.7205833333333,163.740625,0.346908957903,6.81
J1054-5946,10.9084611111111,-59.7752777777778,163.626916666667,0.228324249982,5.81
J1055-6028,10.9275527777778,-60.4770833333333,163.913291666667,0.099660833480,+30.00
J1055-6236,10.9318361111111,-62.6134166666667,163.977541666667,0.44863544246,3.64
J1055-6905,10.9290861111111,-69.0865,163.936291666667,2.9193969868,+11.91
J1056-6258,10.9404305555556,-62.9798888888889,164.106458333333,0.422447188684,13.65
J1057-4754,10.9647605555556,-47.916,164.471408333333,0.628305878552,3.03
J1057-5226,10.9663791666667,-52.4489611111111,164.4956875,0.197107608187,1.53
J1057-7914,10.9576111111111,-79.2400555555556,164.364166666667,1.3474021612,3.46
J1058-5957,10.9761805555556,-59.9601111111111,164.642708333333,0.616270272343,7.11
J1059-5742,10.9835833333333,-57.7039444444444,164.75375,1.18499893354,2.75
J1101-6424,11.0269978611111,-64.4109255555556,165.404967916667,0.005109272904279,7.86
J1101+65,11.0333333333333,65.1166666666667,165.5,3.63132,1.57
J1103-6025,11.0587444444444,-60.426775,165.881166666667,0.396586748928,6.83
J1104-6103,11.0714616666667,-61.0510777777778,166.071925,0.2809053015394,2.31
J1105-43,11.09,-43.9502777777778,166.35,0.3511,2.20
J1107-5947,11.1329722222222,-59.7844444444444,166.994583333333,1.5165309654,3.52
J1107-6143,11.1200833333333,-61.7330555555556,166.80125,1.7993956675,13.72
J1110-5637,11.1667777777778,-56.6258055555556,167.501666666667,0.558252726401,9.18
J1110+58,11.1833333333333,58.8666666666667,167.75,0.793348,+2.17
J1112-6613,11.2107027777778,-66.218,168.160541666667,0.33421283978,+19.31
J1112-6926,11.2141666666667,-69.4419444444444,168.2125,0.82048420411,+12.32
J1114-6100,11.2395888888889,-61.0095,168.593833333333,0.88081962549,+30.00
J1116-4122,11.278635,-41.3788777777778,169.179525,0.943157882843,2.68
J1117-6154,11.2899472222222,-61.9061111111111,169.349208333333,0.50509714918,22.38
J1117-6447,11.2958333333333,-64.7994444444444,169.4375,1.1552719604,+27.12
J1119-7936,11.328,-79.6084166666667,169.92,2.2805971963,1.52
J1120-3618,11.3395555555556,-36.3089444444444,170.093333333333,0.00555,+4.50
J1121-5444,11.3553302777778,-54.7348611111111,170.329954166667,0.53578313115,15.43
J1122+78,11.4327777777778,78.3833333333333,171.491666666667,0.0042013838,0.64
J1123-4844,11.3876808333333,-48.7396527777778,170.8152125,0.244838478401,+8.74
J1123-6651,11.3978361111111,-66.8636305555555,170.967541666667,0.232976432603,3.48
J1124-3653,11.4,-36,171,0.00241,+4.40
J1124-5638,11.4156861111111,-56.6443611111111,171.235291666667,0.185559973402,+23.74
J1124-6421,11.4165277777778,-64.3547222222222,171.247916666667,0.47909858452,14.90
